company,job_title,country,city,district,job_type
King Faisal Specialist Hospital & Research Centre,COMMUNICATIONS TECHNOLOGIST II,Saudi Arabia,Riyadh,,Full Time
Antal International - Egypt,ITSM Senior Analyst - Service Now Developer,Egypt,Cairo,,Full Time
Giza Arabia,Genesys Collaboration Engineer,Saudi Arabia,Riyadh,,Full Time
Amazon MENA,ICQA Supervisor,United Arab Emirates,Dubai,,Full Time
Amazon MENA,"UX Designer, MENA Product Team",United Arab Emirates,Dubai,,Full Time
Amazon MENA,"Vendor Consultant - Italian, AVS-NOP",Egypt,Cairo,,Full Time
ManpowerGroup Middle East,IT Software/System Integration Coordinator,United Arab Emirates,Dubai,,Full Time
ManpowerGroup Middle East,Agri-Tech Chief Engineer/Engineering Director,United Arab Emirates,Dubai,,Full Time
ManpowerGroup Middle East,PRE-OPENING PROJECT MANAGER”.,United Arab Emirates,Dubai,,Full Time
Air Products (Middle East) FZE,QAQC Inspector Building (HVAC / Plumbing),Saudi Arabia,Duba,,Full Time
Progressive GE,Purchaser KSA national,Saudi Arabia,Riyadh,,Full Time
Dafa,"Back end Developer Node Js, PHP",Egypt,Giza,,Full Time
Confidential,Genesys consultant,Egypt,Cairo,,Full Time
Mazar construction,IT Assistant,Egypt,Cairo,New Cairo,Full Time
Viavi Solutions,Senior Technical Support Engineer,Egypt,Cairo,Maadi,Full Time
GET Group- Egypt,Team Lead .Net Developer,Egypt,Cairo,,Full Time
DP World,Group Senior Manager - Tax (UAE CIT),United Arab Emirates,Dubai,,Full Time
Charterhouse Middle East,Manager IT Data Engineering,United Arab Emirates,Dubai,,Full Time
Charterhouse Middle East,Manager IT Platform Operations,United Arab Emirates,Dubai,,Full Time
Antal International - Egypt,SAP Fiori Developer Analyst,Egypt,Cairo,,Full Time
Teachanywhere,"high school female humanities teacher - abu dhabi, jan 2024",United Arab Emirates,Dubai,,Full Time
Antal International - Egypt,SAP ABAP Analyst,Egypt,Cairo,,Full Time
Exacall,Senior Frontend (React & Vue Js),Egypt,Cairo,,Full Time
Exacall,"Senior Backend Developer (Node, Nest.js)",Egypt,Cairo,,Full Time
King Faisal Specialist Hospital & Research Centre,"TECHNOLOGIST, POSITRON EMISSION TOMOGRAPHY SERVICES",Saudi Arabia,Riyadh,,Full Time
"Honeywell International, Inc.",Certification Engr II,Egypt,Cairo,,Full Time
APCO Worldwide LLC,"Project Lead, Communications",Saudi Arabia,Riyadh,,Full Time
King Faisal Specialist Hospital & Research Centre,MASON ASSISTANT,Saudi Arabia,Riyadh,,Full Time
Pure Group,Senior React Developer,Egypt,Cairo,,Full Time
Pure Group,Senior Odoo Developer,Egypt,Cairo,,Full Time
