company,job_title,country,city,district,job_category
Spatium Software,UI/UX Figma designer,Egypt,Assiut,Assuit,Engineering - Telecom/Technology
Spatium Software,Devops Engineer,Egypt,Assiut,Assuit,IT/Software Development
Spatium Software,Devops Engineer,Egypt,Assiut,Assuit,Engineering - Telecom/Technology
Spatium Software,Software Tester,Egypt,Assiut,Assuit,IT/Software Development
Spatium Software,Software Tester,Egypt,Assiut,Assuit,Quality
Spatium Software,Software Tester,Egypt,Assiut,Assuit,Engineering - Telecom/Technology
MCV,IT Technical Support,Egypt,Sharqia,Alsalihiyyah Aljadidah,IT/Software Development
Eg Insurtech,Infrastructure Services Manager,Egypt,Cairo,,IT/Software Development
Confidential,Application Developer,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Application Developer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Injaz Tech for advanced systems,B2B Sales Specialist,Egypt,Cairo,Heliopolis,Engineering - Construction/Civil/Architecture
Injaz Tech for advanced systems,B2B Sales Specialist,Egypt,Cairo,Heliopolis,IT/Software Development
Injaz Tech for advanced systems,B2B Sales Specialist,Egypt,Cairo,Heliopolis,Sales/Retail
Confidential,senior backend node.js developer,Egypt,Giza,Hadayek Alahram,IT/Software Development
Crevisoft Corporation,Senior Odoo Developer,Egypt,Cairo,Maadi,Business Development
Crevisoft Corporation,Senior Odoo Developer,Egypt,Cairo,Maadi,IT/Software Development
Crevisoft Corporation,Senior Odoo Developer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Sulfah,DevOps Engineer,Egypt,Cairo,Maadi,IT/Software Development
Sulfah,DevOps Engineer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Egypt Bakery Stores,ERP Functional Support (Microsoft Dynamics - Business Central 365),Egypt,Cairo,Katameya,IT/Software Development
Egypt Bakery Stores,ERP Functional Support (Microsoft Dynamics - Business Central 365),Egypt,Cairo,Katameya,Engineering - Telecom/Technology
Sarmady,Senior .Net Developer,Egypt,Giza,Mohandessin,IT/Software Development
Sarmady,Senior .Net Developer,Egypt,Giza,Mohandessin,Engineering - Telecom/Technology
Sarmady,UX Designer,Egypt,Giza,Mohandessin,Creative/Design/Art
Sarmady,UX Designer,Egypt,Giza,Mohandessin,IT/Software Development
Sarmady,UX Designer,Egypt,Giza,Mohandessin,Engineering - Telecom/Technology
Fawry for Banking Technology and Electronic Payments S.A.E,Senior Application Support Engineer,Egypt,Giza,Smart Village,Installation/Maintenance/Repair
Fawry for Banking Technology and Electronic Payments S.A.E,Senior Application Support Engineer,Egypt,Giza,Smart Village,IT/Software Development
Fawry for Banking Technology and Electronic Payments S.A.E,Senior Application Support Engineer,Egypt,Giza,Smart Village,Engineering - Telecom/Technology
Crevisoft Corporation,Software Sales,Egypt,Cairo,Maadi,IT/Software Development
Crevisoft Corporation,Software Sales,Egypt,Cairo,Maadi,Sales/Retail
Crevisoft Corporation,Software Sales,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Target Integrated Systems,Presales Engineer.,Egypt,Cairo,Maadi,IT/Software Development
Target Integrated Systems,Presales Engineer.,Egypt,Cairo,Maadi,Sales/Retail
Target Integrated Systems,Presales Engineer.,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Noases,Call Center Manager,Egypt,Cairo,Nasr City,IT/Software Development
Noases,Call Center Manager,Egypt,Cairo,Nasr City,Sales/Retail
Enegix,Senior Native Android App Developer,Egypt,Alexandria,,IT/Software Development
Enegix,Senior Native Android App Developer,Egypt,Alexandria,,Engineering - Telecom/Technology
Bevatel,Software Tester,Egypt,Giza,Dokki,IT/Software Development
Bevatel,Software Tester,Egypt,Giza,Dokki,Engineering - Telecom/Technology
